zipvfs: opened archive 'scrantic_data.zip' (2579 entries)
Loading resources ...................................................................................................................................................................................
Art style: Cartoon (preview) (partial pack: 28/2401 assets; missing art uses HD/original), scale=2
rand seed: 11 (forced)
Art asset: data/styles/cartoon/SCR/OCEAN02.SCR.png
island backdrop: OCEAN02.SCR
Art asset: data/hd/BMP/MRAFT.BMP/000.png
Art asset: data/hd/BMP/MRAFT.BMP/001.png
Art asset: data/hd/BMP/MRAFT.BMP/002.png
Art asset: data/hd/BMP/MRAFT.BMP/003.png
Art asset: data/hd/BMP/MRAFT.BMP/004.png
Art asset: data/hd/BMP/MRAFT.BMP/005.png
Art asset: data/hd/BMP/MRAFT.BMP/006.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/000.png
Art asset: data/hd/BMP/BACKGRND.BMP/001.png
Art asset: data/hd/BMP/BACKGRND.BMP/002.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/003.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/004.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/005.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/006.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/007.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/008.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/009.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/010.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/011.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/012.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/013.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/014.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/015.png
Art asset: data/hd/BMP/BACKGRND.BMP/016.png
Art asset: data/hd/BMP/BACKGRND.BMP/017.png
Art asset: data/hd/BMP/BACKGRND.BMP/018.png
Art asset: data/hd/BMP/BACKGRND.BMP/019.png
Art asset: data/hd/BMP/BACKGRND.BMP/020.png
Art asset: data/hd/BMP/BACKGRND.BMP/021.png
Art asset: data/hd/BMP/BACKGRND.BMP/022.png
Art asset: data/hd/BMP/BACKGRND.BMP/023.png
Art asset: data/hd/BMP/BACKGRND.BMP/024.png
Art asset: data/hd/BMP/BACKGRND.BMP/025.png
Art asset: data/hd/BMP/BACKGRND.BMP/026.png
Art asset: data/hd/BMP/BACKGRND.BMP/027.png
Art asset: data/hd/BMP/BACKGRND.BMP/028.png
Art asset: data/hd/BMP/BACKGRND.BMP/029.png
Art asset: data/hd/BMP/BACKGRND.BMP/030.png
Art asset: data/hd/BMP/BACKGRND.BMP/031.png
Art asset: data/hd/BMP/BACKGRND.BMP/032.png
Art asset: data/hd/BMP/BACKGRND.BMP/033.png
Art asset: data/hd/BMP/BACKGRND.BMP/034.png
Art asset: data/hd/BMP/BACKGRND.BMP/035.png
Art asset: data/hd/BMP/BACKGRND.BMP/036.png
Art asset: data/hd/BMP/BACKGRND.BMP/037.png
Art asset: data/hd/BMP/BACKGRND.BMP/038.png
Art asset: data/hd/BMP/BACKGRND.BMP/039.png
Art asset: data/hd/BMP/BACKGRND.BMP/040.png
Art asset: data/hd/BMP/BACKGRND.BMP/041.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/000.png
Art asset: data/hd/BMP/BACKGRND.BMP/001.png
Art asset: data/hd/BMP/BACKGRND.BMP/002.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/003.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/004.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/005.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/006.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/007.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/008.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/009.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/010.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/011.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/012.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/013.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/014.png
Art asset: data/styles/cartoon/BMP/BACKGRND.BMP/015.png
Art asset: data/hd/BMP/BACKGRND.BMP/016.png
Art asset: data/hd/BMP/BACKGRND.BMP/017.png
Art asset: data/hd/BMP/BACKGRND.BMP/018.png
Art asset: data/hd/BMP/BACKGRND.BMP/019.png
Art asset: data/hd/BMP/BACKGRND.BMP/020.png
Art asset: data/hd/BMP/BACKGRND.BMP/021.png
Art asset: data/hd/BMP/BACKGRND.BMP/022.png
Art asset: data/hd/BMP/BACKGRND.BMP/023.png
Art asset: data/hd/BMP/BACKGRND.BMP/024.png
Art asset: data/hd/BMP/BACKGRND.BMP/025.png
Art asset: data/hd/BMP/BACKGRND.BMP/026.png
Art asset: data/hd/BMP/BACKGRND.BMP/027.png
Art asset: data/hd/BMP/BACKGRND.BMP/028.png
Art asset: data/hd/BMP/BACKGRND.BMP/029.png
Art asset: data/hd/BMP/BACKGRND.BMP/030.png
Art asset: data/hd/BMP/BACKGRND.BMP/031.png
Art asset: data/hd/BMP/BACKGRND.BMP/032.png
Art asset: data/hd/BMP/BACKGRND.BMP/033.png
Art asset: data/hd/BMP/BACKGRND.BMP/034.png
Art asset: data/hd/BMP/BACKGRND.BMP/035.png
Art asset: data/hd/BMP/BACKGRND.BMP/036.png
Art asset: data/hd/BMP/BACKGRND.BMP/037.png
Art asset: data/hd/BMP/BACKGRND.BMP/038.png
Art asset: data/hd/BMP/BACKGRND.BMP/039.png
Art asset: data/hd/BMP/BACKGRND.BMP/040.png
Art asset: data/hd/BMP/BACKGRND.BMP/041.png
Clouds Pos: 89, 32
Clouds Pos: 136, 26
FRONT DRIVER: island_seed=11 path_seed=2 route=E,A,UNDEF api=adsPlayWalk(4,1,0,1) style=cartoon
FRONT ISLAND: highTide=1 offset=0,0 raft=0 night=0 holiday=0
Art asset: data/hd/BMP/JOHNWALK.BMP/000.png
Art asset: data/hd/BMP/JOHNWALK.BMP/001.png
Art asset: data/hd/BMP/JOHNWALK.BMP/002.png
Art asset: data/hd/BMP/JOHNWALK.BMP/003.png
Art asset: data/hd/BMP/JOHNWALK.BMP/004.png
Art asset: data/hd/BMP/JOHNWALK.BMP/005.png
Art asset: data/hd/BMP/JOHNWALK.BMP/006.png
Art asset: data/hd/BMP/JOHNWALK.BMP/007.png
Art asset: data/hd/BMP/JOHNWALK.BMP/008.png
Art asset: data/hd/BMP/JOHNWALK.BMP/009.png
Art asset: data/hd/BMP/JOHNWALK.BMP/010.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/011.png
Art asset: data/hd/BMP/JOHNWALK.BMP/012.png
Art asset: data/hd/BMP/JOHNWALK.BMP/013.png
Art asset: data/hd/BMP/JOHNWALK.BMP/014.png
Art asset: data/hd/BMP/JOHNWALK.BMP/015.png
Art asset: data/hd/BMP/JOHNWALK.BMP/016.png
Art asset: data/hd/BMP/JOHNWALK.BMP/017.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/018.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/019.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/020.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/021.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/022.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/023.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/024.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/025.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/026.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/027.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/028.png
Art asset: data/styles/cartoon/BMP/JOHNWALK.BMP/029.png
Art asset: data/hd/BMP/JOHNWALK.BMP/030.png
Art asset: data/hd/BMP/JOHNWALK.BMP/031.png
Art asset: data/hd/BMP/JOHNWALK.BMP/032.png
Art asset: data/hd/BMP/JOHNWALK.BMP/033.png
Art asset: data/hd/BMP/JOHNWALK.BMP/034.png
Art asset: data/hd/BMP/JOHNWALK.BMP/035.png

 +-- CALCULATE PATH --
 |
 |  . walking from E to A:
 |  . possible paths:  EA EDCA EDCBA
 |  . chosen path: EA
 +--------------------

WALKING:  spot=4 hdg=1 next=-1  -  data 0 395 212 28

FRONT DRAW: flip=0 x=394 y=212 frame=28
FRONT ANIMATE: delay_ticks=6
    ------> Animate clouds
Clouds Pos: 87, 32
Clouds Pos: 135, 26
FRONT WAIT: ticks=0 logical_ms=0
FRONT DISPLAY: 1 logical_ms=0 file=display-001.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 388 214 29

FRONT DRAW: flip=0 x=387 y=214 frame=29
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=120
FRONT DISPLAY: 2 logical_ms=120 file=display-002.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 85, 32
Clouds Pos: 134, 26
FRONT WAIT: ticks=2 logical_ms=160
FRONT DISPLAY: 3 logical_ms=160 file=display-003.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 385 216 24

FRONT DRAW: flip=0 x=384 y=216 frame=24
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=4 logical_ms=240
FRONT DISPLAY: 4 logical_ms=240 file=display-004.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 83, 32
Clouds Pos: 133, 26
FRONT WAIT: ticks=4 logical_ms=320
FRONT DISPLAY: 5 logical_ms=320 file=display-005.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 379 214 25

FRONT DRAW: flip=0 x=378 y=214 frame=25
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=2 logical_ms=360
FRONT DISPLAY: 6 logical_ms=360 file=display-006.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 81, 32
Clouds Pos: 132, 26
    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 375 215 26

FRONT DRAW: flip=0 x=374 y=215 frame=26
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=480
FRONT DISPLAY: 7 logical_ms=480 file=display-007.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 369 217 27

FRONT DRAW: flip=0 x=368 y=217 frame=27
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=600
FRONT DISPLAY: 8 logical_ms=600 file=display-008.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 79, 32
Clouds Pos: 131, 26
FRONT WAIT: ticks=2 logical_ms=640
FRONT DISPLAY: 9 logical_ms=640 file=display-009.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 367 215 28

FRONT DRAW: flip=0 x=366 y=215 frame=28
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=4 logical_ms=720
FRONT DISPLAY: 10 logical_ms=720 file=display-010.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 77, 32
Clouds Pos: 130, 26
FRONT WAIT: ticks=4 logical_ms=800
FRONT DISPLAY: 11 logical_ms=800 file=display-011.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 360 217 29

FRONT DRAW: flip=0 x=359 y=217 frame=29
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=2 logical_ms=840
FRONT DISPLAY: 12 logical_ms=840 file=display-012.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 75, 32
Clouds Pos: 129, 26
    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 357 220 24

FRONT DRAW: flip=0 x=356 y=220 frame=24
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=960
FRONT DISPLAY: 13 logical_ms=960 file=display-013.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 351 219 25

FRONT DRAW: flip=0 x=350 y=219 frame=25
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=1080
FRONT DISPLAY: 14 logical_ms=1080 file=display-014.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 73, 32
Clouds Pos: 128, 26
FRONT WAIT: ticks=2 logical_ms=1120
FRONT DISPLAY: 15 logical_ms=1120 file=display-015.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 347 220 26

FRONT DRAW: flip=0 x=346 y=220 frame=26
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=4 logical_ms=1200
FRONT DISPLAY: 16 logical_ms=1200 file=display-016.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 71, 32
Clouds Pos: 127, 26
FRONT WAIT: ticks=4 logical_ms=1280
FRONT DISPLAY: 17 logical_ms=1280 file=display-017.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 342 225 27

FRONT DRAW: flip=0 x=341 y=225 frame=27
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=2 logical_ms=1320
FRONT DISPLAY: 18 logical_ms=1320 file=display-018.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 69, 32
Clouds Pos: 126, 26
    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 340 224 28

FRONT DRAW: flip=0 x=339 y=224 frame=28
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=1440
FRONT DISPLAY: 19 logical_ms=1440 file=display-019.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 335 227 29

FRONT DRAW: flip=0 x=334 y=227 frame=29
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=1560
FRONT DISPLAY: 20 logical_ms=1560 file=display-020.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 67, 32
Clouds Pos: 125, 26
FRONT WAIT: ticks=2 logical_ms=1600
FRONT DISPLAY: 21 logical_ms=1600 file=display-021.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 332 231 24

FRONT DRAW: flip=0 x=331 y=231 frame=24
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=4 logical_ms=1680
FRONT DISPLAY: 22 logical_ms=1680 file=display-022.ppm
 ******* WAIT: 4 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 65, 32
Clouds Pos: 124, 26
FRONT WAIT: ticks=4 logical_ms=1760
FRONT DISPLAY: 23 logical_ms=1760 file=display-023.ppm
 ******* WAIT: 2 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 326 230 25

FRONT DRAW: flip=0 x=325 y=230 frame=25
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=2 logical_ms=1800
FRONT DISPLAY: 24 logical_ms=1800 file=display-024.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate bg
    ------> Animate clouds
Clouds Pos: 63, 32
Clouds Pos: 123, 26
    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 321 231 26

FRONT DRAW: flip=0 x=320 y=231 frame=26
FRONT ANIMATE: delay_ticks=6
FRONT WAIT: ticks=6 logical_ms=1920
FRONT DISPLAY: 25 logical_ms=1920 file=display-025.ppm
 ******* WAIT: 6 ticks *******

    ------> Animate walking
WALKING:  spot=4 hdg=1 next=-1  -  data 0 316 236 27

